,Unnamed: 0,AltimetriaNorm,AmplitudeNorm,concavoConvNorm,CurvaturaNegativaNorm,CurvaturaPositivaNorm,DeclividadeNorm,GeomIgualA1,GeomIgualA2,GeomIgualA3,GeomIgualA4,GeomIgualA5,GeomIgualA6,GeomIgualA7,GeomIgualA8,OrientacaoEncosta=1,OrientacaoEncosta=2,OrientacaoEncosta=3,OrientacaoEncosta=4,OrientacaoEncosta=5,OrientacaoEncosta=6,OrientacaoEncosta=7,OrientacaoEncosta=8,OrientacaoEncosta=9,UsoSolo=1,UsoSolo=2,UsoSolo=3,UsoSolo=4,UsoSolo=5,positivoDeRisco
Unnamed: 0,1.0,0.16275196479959148,0.016479173925978377,0.028561371473552737,0.07185718794143799,0.0008671596769682453,-0.03313887775414358,0.1438278433841013,-0.16065328571379434,0.24200724265787457,-0.08691434176785322,-0.009925711504766656,0.060722075145374366,0.20476927974741774,-0.23353382810383846,0.02117448423551384,0.04190978021017938,-0.020046759957473223,-0.06909562089725935,-0.04145844402051787,-0.007478203886632246,0.05777576710059975,0.007687426986250311,0.002235694095008682,0.014703095027883268,0.02434315194860568,-0.042109013396415956,-0.006569271885298102,0.05825409065482275,0.007876184174154232
AltimetriaNorm,0.16275196479959148,1.0,0.23258475147600377,0.08226293892537807,-0.14862555827830704,0.2858860273691291,0.34619642324182454,-0.03859441785282015,-0.046636557897637654,0.6075569280127828,0.04521359499881903,-0.022602491921350075,0.08763687309141417,0.06085354351584347,-0.5185320161141382,-0.19198438148974326,0.11304455357201336,0.08784805427083174,-0.02758560535636693,-0.045541078383600525,-0.048572179956162614,-0.028178267476237345,0.01342901111715798,0.042928930252598176,0.06838090011281472,0.32272110609382876,-0.3399091491724823,0.03667812579501115,0.11815075638268736,0.045913504601769684
AmplitudeNorm,0.016479173925978377,0.23258475147600377,1.0,0.06172377334445381,-0.1338533481704377,0.20327958118880432,0.44011028564594856,0.0369499883444159,0.009161457071440685,0.11319032191636487,0.0016530420603155676,-0.02162637268287247,0.06717730769114155,-0.010670602608003413,-0.15587736715365666,-0.0700769161109018,-0.022793359644022064,0.03204118765010639,0.027402507209463647,-0.03372383388899422,-0.0316992147203599,-0.006251450518120483,0.012178064655356344,0.061417973394871365,-0.0019027174177457817,0.20965837418651356,-0.17862862812136754,0.024440631257736812,0.0029895850150992638,0.0524997057684755
concavoConvNorm,0.028561371473552737,0.08226293892537807,0.06172377334445381,1.0,0.04611372147192593,0.07219493981373894,0.13326228833260773,-0.018980856642914004,-0.004834862896050544,0.07874310905773853,-0.014760142512916616,-0.00864901352262085,-0.011001275114200251,0.010556780944548429,-0.04505769655823474,-0.03581723694055342,0.015477532087685195,-0.013995446672147787,-0.009419169732176175,-0.010086020247243444,-0.010113187254578881,-0.005331093956930085,0.008931167248338789,0.03291696533503988,0.024110800043367707,0.01553383420592189,-0.02244869120607158,-0.004816029938218109,-0.011957552976946789,0.0226503606442034
CurvaturaNegativaNorm,0.07185718794143799,-0.14862555827830704,-0.1338533481704377,0.04611372147192593,1.0,-0.4026035968004532,-0.5733678429078249,-0.016931080839549778,-0.07913008610774057,-0.0179866113737442,0.019360769976571678,0.007219156295874894,-0.03633372617137087,-0.012441665575268572,0.12464620782632782,0.11239303609830803,-0.019893920891009737,-0.034900182158336096,-0.002318731548413816,-0.030754899675662258,-0.00075273253850738,0.017593207921361396,0.023176254898664223,-0.014066546855253145,-0.027638244509197055,-0.07878349279004704,0.08071302288845247,-0.013697891173323908,0.004898356089085995,0.028321830906153794
CurvaturaPositivaNorm,0.0008671596769682453,0.2858860273691291,0.20327958118880432,0.07219493981373894,-0.4026035968004532,1.0,0.639174710067236,0.021918863788944296,0.121644637150688,0.08339438768126783,0.022125793915154252,-0.007121977247366243,-0.00016022664037400737,0.02770557697474495,-0.22682016868942195,-0.18607168562160317,0.07229427275113706,0.03169833340144728,0.0032698396747431963,-0.006677052791906749,-0.03239779287030802,-0.012640184236160777,0.0016219908349935142,0.035886407137892755,0.010056038148851589,0.06675266837415911,-0.06201171192910669,0.004436317997213429,0.00014618148323832953,0.031450379291445583
DeclividadeNorm,-0.03313887775414358,0.34619642324182454,0.44011028564594856,0.13326228833260773,-0.5733678429078249,0.639174710067236,1.0,0.03316416429845632,0.12385458760036905,0.12967255779476544,-0.004570523690836316,-0.027763335906608462,0.057329459720535346,0.024967149208528806,-0.2925361219334252,-0.19755404843209617,0.04906628321749253,0.05530979687413933,0.008891541047940535,0.012699899978078615,-0.03157398190985176,-0.02179010889865993,-0.008102450440828577,0.04067109770422809,0.01916445158690333,0.1649937131351566,-0.15330492255555092,0.028146333176349413,0.007990117286754202,0.026234117067299535
GeomIgualA1,0.1438278433841013,-0.03859441785282015,0.0369499883444159,-0.018980856642914004,-0.016931080839549778,0.021918863788944296,0.03316416429845632,1.0,-0.25212511078879823,-0.18102155826840083,-0.034430895644874365,-0.02265738780470324,-0.07437890727437185,-0.06843740318537632,-0.23903936949157784,-0.05265884403306914,-0.030078756157041996,0.02266673116134189,0.08640166105005802,0.07887632221388946,-0.008251814356251615,-0.00943541641230228,-0.04299329141499023,-0.0443375574923889,-0.006084004877839864,0.00536494180306272,0.00590758787232944,-0.007338950999191897,-0.027693312085644257,-0.05838081382568957
GeomIgualA2,-0.16065328571379434,-0.046636557897637654,0.009161457071440685,-0.004834862896050544,-0.07913008610774057,0.121644637150688,0.12385458760036905,-0.25212511078879823,1.0,-0.3272792097969325,-0.062249581911959895,-0.040963584932741076,-0.13447387278713396,-0.12373188834148005,-0.432172922970606,-0.08617329962580601,0.02775117826460015,0.01036319631896672,-0.04566213334740504,-0.05463602875611832,-0.018677695226713247,0.024812981866263625,0.040689871941556766,0.03882217063290486,0.04214961494153077,-0.09052749977386729,0.06728118006079706,-0.006205695420814199,-0.050068319943483555,0.053688237743271854
GeomIgualA3,0.24200724265787457,0.6075569280127828,0.11319032191636487,0.07874310905773853,-0.0179866113737442,0.08339438768126783,0.12967255779476544,-0.18102155826840083,-0.3272792097969325,1.0,-0.044694145236091824,-0.029411160013336934,-0.09654996252517585,-0.0888373996742647,-0.3102928372061034,-0.06716987134344718,0.031507192382940634,0.0226166053349443,0.006079158940411671,-0.0017903434093206173,0.025840476168809554,0.01611689078503959,-0.03592858056534491,-0.022930015268617387,0.0037726247909530583,0.22811365421895444,-0.1990519598410333,0.023852386431692348,0.010729040101429133,-0.04454337016983319
